Date,Time,MC%,Drop
4/3/2019,19:45,8.6,4.25
4/3/2019,21:45,8.5,4.92
4/3/2019,23:45,9,4.17
4/3/2019,23:45,8.9,4.17
4/3/2019,23:45,9,4.5
3/27/2019,23:35,8.5,4.67
3/28/2019,1:45,8.6,6.92
3/28/2019,3:45,8.9,6.5
3/28/2019,3:45,8.9,6.42
3/28/2019,3:45,8.7,5.25
3/28/2019,13:45,8.6,4.33
3/28/2019,13:45,8.6,4.83
3/28/2019,21:45,9.1,3.67
3/28/2019,23:45,9,5.58
3/29/2019,1:45,9.1,3.42
3/29/2019,1:45,8.7,3.83
3/29/2019,3:45,8.7,4.17
3/29/2019,7:45,8.8,6.5
3/29/2019,9:45,8.7,6.25
3/29/2019,11:45,8.7,3
3/29/2019,13:45,8.5,4.17
3/29/2019,13:45,8.5,4.92
3/29/2019,13:45,8.5,4.42
3/29/2019,21:45,9,4.17
3/29/2019,23:45,8.7,4.17
3/29/2019,23:45,8.5,4.25
3/30/2019,1:45,9,3.5
3/30/2019,1:45,8.9,3.17
3/30/2019,1:45,9.1,3.75
3/30/2019,3:45,8.7,4.67
3/30/2019,5:45,9.1,5.5
3/30/2019,7:45,9.1,5.58
3/30/2019,7:45,8.7,4.75
3/30/2019,11:45,8.7,4.25
3/30/2019,13:45,8.8,4.33
3/30/2019,13:45,8.4,4.25
3/30/2019,21:45,9,4
3/30/2019,23:45,8.8,4.17
3/31/2019,1:45,8.8,3.92
3/31/2019,1:45,8.9,5.08
3/31/2019,3:45,8.7,4.33
3/31/2019,5:45,9,4.5
3/31/2019,7:45,9,5.17
3/31/2019,11:45,9,6.42
3/31/2019,11:45,9.1,5.25
3/31/2019,13:45,8.9,4.5
3/31/2019,13:45,9.1,4.42
3/31/2019,15:45,8.8,3.83
3/30/2019,15:45,9.1,3.83
3/30/2019,17:45,9,4.75
3/30/2019,19:45,8.7,3.33
3/30/2019,19:45,8.6,3.25
3/30/2019,19:45,8.6,3.17
3/31/2019,1:45,9,3.92
3/31/2019,1:45,8.8,4.67
3/31/2019,1:45,8.8,4.75
3/31/2019,3:45,8.8,4.5
3/31/2019,3:45,8.8,4.83
3/31/2019,3:45,8.9,4.17
3/31/2019,5:45,9.3,4.42
3/31/2019,5:45,9.2,3.83
3/31/2019,7:45,8.8,4.92
3/31/2019,7:45,8.9,5.75
3/31/2019,9:45,8.6,5.42
3/31/2019,9:45,8.7,6
3/31/2019,9:45,8.8,4.67
3/31/2019,11:45,8.9,5.58
3/31/2019,13:45,9.1,5.42
3/31/2019,13:45,9,5.67
3/31/2019,13:45,8.9,4.92
3/31/2019,15:45,8.6,3.67
3/31/2019,15:45,8.4,3.92
3/31/2019,17:45,8.6,4.25
3/31/2019,17:45,8.5,4.5
3/31/2019,17:45,8.6,4.42
3/31/2019,19:45,8.6,2.92
3/31/2019,19:45,8.6,3.33
3/31/2019,19:45,8.8,3.58
3/31/2019,23:45,9.3,5.33
3/31/2019,23:45,9.2,4.75
3/31/2019,23:45,9.1,5
4/1/2019,1:45,9.1,7.67
4/1/2019,1:45,8.9,5.08
4/1/2019,1:45,9.3,5.83
4/1/2019,5:45,8.9,4.08
4/1/2019,7:45,8.5,5.42
4/1/2019,7:45,8.6,5.67
4/1/2019,9:45,8.8,4.92
4/1/2019,9:45,8.8,5.42
4/1/2019,11:45,9,5.67
4/1/2019,11:45,8.7,5.83
4/4/2019,1:45,8.8,5.5
4/4/2019,1:45,9.3,5.58
4/4/2019,5:45,8.9,4.33
4/4/2019,5:45,8.7,4.17
4/4/2019,7:45,9.1,4.17
4/4/2019,7:45,8.8,4.75
4/4/2019,7:45,8.9,4.42
4/4/2019,9:30,,
